Id,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA09/2020/0286/F,27-Feb-2020,,28-Feb-2020,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Retention of Storage Shed Associated with Existing Dwelling & Within Curtilage of Approved Dwelling,15 Ballymacombes Road  Portglenone,"296,851","403,292",Approved,Approved,12-May-2021,Q1,,,59.4,, 
LA09/2020/0287/F,27-Feb-2020,,27-Feb-2020,Mid Ulster,N13000010,Mid Ulster LPA,FERMANAGH AND SOUTH TYRONE,Full,Local,Civic,Rural: Countryside, , ,"Regularisation of existing business for the retention of; storage of broken down vehicles only for removal of salvage purposes, hard coring of land and earth bunds and access.   Proposed landscaping to boundaries of site (revised description)",65m South east of 38 Aghnagar Road  Ballygawley,"267,337","361,235",Pending, ,,,,,,1,12 months and over
LA01/2020/0261/O,28-Feb-2020,,02-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Outline,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,"Relocation of existing dwelling No 71 Gelvin Road to off site location 40m north east of No 71 to construct a part two storey, part single storey dwelling house and double garage, (existing dwelling to be retained as domestic store)",Lands at and 40m north of No 71 Gelvin Road Drumsurn BT47 4QX,"271,700","414,165",Approved,Approved,29-Oct-2021,Q3,,,82.8,, 
LA01/2020/0328/F,28-Feb-2020,,13-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,NORTH ANTRIM,Full,Local,Change of Use,Rural: Countryside, , ,"Proposed retention of small holiday park comprising 1 no cabin, 1 no static caravan & 5 no touring pitches, fencing, landscaping, access & ancillary site works (amended plans)",Lands approx 6m north of 70 Moycraig Road  Bushmills,"300,512","441,103",Approved,Approved,24-Jun-2021,Q1,,,63.4,, 
LA01/2020/0527/F,28-Feb-2020,,03-Jun-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Civic,Urban, ,Solar panels,Installation of photovoltaic (PV) panels on roof of supermarket building,New Lidl Supermarket  71-85 Main Street  Limavady,"267,153","423,256",Approved,Approved,16-Jun-2021,Q1,,,51.6,, 
LA08/2020/0296/F,28-Feb-2020,,28-Feb-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",UPPER BANN,Full,Local,Residential,Urban,Urban extensions and alterations, ,"Proposed alteration and extension of existing domestic garage, to form recreation room and office for personal use only (Amended Proposal)",20m North West & to the rear of 6 Antrim Road  Lurgan  BT67 9BW,"308,497","359,148",Approved,Approved,15-Oct-2021,Q3,,,81.0,, 
LA08/2020/0300/O,28-Feb-2020,,03-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",NEWRY AND ARMAGH,Outline,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Site for dwelling and garage on infill site, with associated site works.",Adjoining (to North East of) 57 Hanslough Road  Middletown  BT60 4HL,"278,086","337,348",Approved,Approved,21-Jul-2021,Q2,,,68.4,, 
LA09/2020/0368/F,28-Feb-2020,,13-Mar-2020,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Change of Use,Urban, , ,Change of use from a barber shop to a gym.,11-13 Rainey Street  Magherafelt  BT45 5DA.,"289,616","390,640",Pending, ,,,,,,1,12 months and over
LA10/2020/0209/F,28-Feb-2020,,28-Feb-2020,Fermanagh and Omagh,N13000007,Fermanagh and Omagh LPA,FERMANAGH AND SOUTH TYRONE,Full,Local,Mixed Use,Rural: Countryside, , ,Retentioin of existing 2 number Pig Sheds,90m Southwest of 60 Ned Road   Ned   Derrylin,"228,999","329,253",Pending, ,,,,,,1,12 months and over
LA10/2020/0226/F,28-Feb-2020,,04-Mar-2020,Fermanagh and Omagh,N13000007,Fermanagh and Omagh LPA,WEST TYRONE,Full,Local,Civic,Rural: Settlement, , ,"Proposed extension of Church curtilage to include extended Church annex complex with a 300 seater sanctuary, sports hall, cafe and foyer space, meeting rooms and ancillary accommodation. Link to existed Listed Church Building with minor internal alterations, associated car parking and site works.",Mountjoy Presbyterian Church  Castletown Road  Mountjoy  Omagh,"242,324","377,814",Approved,Approved,22-Jun-2021,Q1,,,64.4,, 
