Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2008/0295/F,16/04/2008,,16/04/2008,Derry and Strabane,FOYLE,Full,Major,Residential,Urban,Urban housing developments, ,"Residential development comprising 172 residential units, linear park, landscaping and associated site works","Lands at Galliagh, south of Skeoge Link Road and north of No's 14-19 Lower Galliagh Road, Londonderry","242,495","420,840",Withdrawn,Withdrawn,,,27/09/2016,Q2,422,, 
A/2009/0759/F,25/09/2009,,12/10/2009,Strategic Planning Division,FOYLE,Full,Major,Other,Rural: Countryside, , ,Closure works and reprofiling of former landfill site using inert materials to comply with Landfill Regulations (NI) 2003. (Amended drawings received),"Woodside Road Landfill Site, 48 Woodside Road, Newbuildings, Londonderry","242,084","413,473",Pending, ,,,,,,1,12 months and over
A/2010/0240/O,12/04/2010,,12/04/2010,Strategic Planning Division,FOYLE,Outline,Major,Mixed Use,Urban, , ,"Construction of a retail store (gross floorspace 7,700 sq metres) (Class A1), petrol-filling station, and associated highway, footpath, landscape and other works and improvements.","Lands to the east of Crescent Link and north of Sevenoaks, Londonderry","246,287","416,520",Withdrawn,Withdrawn,,,30/11/2016,Q3,331.6,, 
A/2010/0241/O,12/04/2010,,12/04/2010,Strategic Planning Division,FOYLE,Outline,Major,Mixed Use,Urban, , ,"Mixed use development including offices, live-work units, housing, retail, restaurants, cafes, cinema, gymnasium, creche, family entertainment and associated highway, footpath, landscape and other works and improvements.","Lands to the east of Crescent Link and north of Sevenoaks, Londonderry","246,240","416,462",Refused,Refused,09/01/2017,Q4,,,336.4,, 
A/2010/0489/F,14/07/2010,,14/07/2010,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Settlement,Rural other (settlement), ,"Amended layout from approval A/2004/0462/F with reduction from 166 units to 155 units comprised of 12no. detached, 86no. semi-detached and 57 townhouses.","Lands immediately to the east of Primity Crescent, Primity Park and Silverbrook Park, Newbuildings","241,695","412,486",Refused,Refused,08/02/2017,Q4,,,328,, 
A/2011/0115/F,02/03/2011,,02/03/2011,Derry and Strabane,FOYLE,Full,Major,Industrial,Rural: Countryside, , ,"(Additional information received ) Extension to quarry including consolidation and deepening of extraction areas previously approved under planning consents A/1998/0635/F and A/442/75, retention of entrance gates and security fence, installation of wheel-wash, weighbridge and office use, use of mobile crushing and screening plant (mobile jaw crusher, mobile cone crusher and mobile screener), native species planting, landscaping and full site restoration",Gortree Quarry  Gortree Road  Gorticross  Londonderry  BT47 3LN,"248,663","417,130",Pending, ,,,,,,1,12 months and over
A/2011/0197/F,05/04/2011,,05/04/2011,Derry and Strabane,FOYLE,Full,Major,Mixed Use,Rural: Settlement, , ,"50 no Proposed Social Dwellings (2 no Single Storey detached, 12 no 2 Storey terraced, 32 no 2 storey semi-detached and 4 no Apartments in 2 Storey detached blocks) plus Changing Facility, 11-a-side Football Pitch and Children's Play Area-all with ancillary Siteworks Including public road improvements to Alder Road (from junction of Culmore Road to North west boundary of site) and provision of footpath (Amended proposal, plans and additional information)",Immediately adjacent to 1 Ballynagard Crescent  Culmore  Derry.,"246,036","421,703",Pending, ,,,,,,1,12 months and over
A/2011/0207/F,06/04/2011,,06/04/2011,Derry and Strabane,FOYLE,Full,Major,Residential,Urban,Urban housing developments, ,"310 dwellings (41 detached, 216 semi detached, 47 townhouses and 6 apartments), landscaping and ancillary works including access from signalised junction on Crescent Link incorporating Sperrin Park.",Lands east of Crescent Link  north of Ballyoan cemetery  west of Rossdowney Road and South east of Caw roundabout  Londonderry.,"246,591","418,043",Pending, ,,,,,,1,12 months and over
A/2011/0219/F,08/04/2011,,08/04/2011,Strategic Planning Division,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"Proposed installation of an Archimedes screw hydro-electric turbine including fish pass, modifications to existing intake, alterations to existing mill race and construction of a new turbine house",lands adjacent to 41 Lower Ballyartan Road  Lettermuck  Claudy  Londonderry  BT47 3SY,"252,913","406,494",Pending, ,,,,,,1,12 months and over
A/2011/0237/F,08/04/2011,,08/04/2011,Strategic Planning Division,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"To develop a mirco-hydroelectric, renewable energy system (18.5kw) on the Sawel Mountain Stream, to supply electricity exported to the grid.",Turbine House 250m due east of 50 Crockahilly Road  Dreen  Park  Claudy  Londonderry,"260,427","399,653",Withdrawn,Withdrawn,,,18/04/2016,Q1,250,, 
