Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2011/0638/F,18/11/2011,,18/11/2011,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, , ,Retention of amended access to existing sand and gravel extraction,150m north-east of 339 Longland Road  Claudy  BT47 4AJ,"256,772","405,428",Withdrawn,Withdrawn,,,05/06/2017,Q1,275.8,, 
A/2011/0640/F,18/11/2011,,18/11/2011,Derry and Strabane,EAST LONDONDERRY,Full,Major,Industrial,Rural: Countryside, , ,                                                                                                                                                                                                                                                                                         Extraction of sand and gravel. (Retrospective Application),To the rear and 70m south of 341 Longland Road  Claudy  BT47 4AJ,"256,808","405,447",Withdrawn,Withdrawn,,,05/06/2017,Q1,275.8,, 
A/2011/0684/F,09/12/2011,,09/12/2011,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, , ,Retrospective amendment to previously approved A/2006/0953/F. Alteration to approved site layout and boundary.,Berth number 2  Lisahally Quay  Port Road  Lisahally  Londonderry  Co Londonderry  BT47 6FL,"247,191","421,815",Approved,Approved,03/10/2017,Q3,,,289.4,, 
A/2012/0553/F,19/11/2012,,19/11/2012,Strategic Planning Division,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,Proposed installation of a fish pass to existing weir. Application associated with current planning application - A/2011/0219/F - Proposed Archimedes screw hydro electric turbine.,Lands Adjacent To 41 Lower Ballyartan Road Lettermuck Claudy LCondonderry  BT47 3SY,"253,018","406,494",Pending, ,,,,,,1,12 months and over
A/2013/0400/F,15/08/2013,,15/08/2013,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,Proposed off-site replacement of 5 no. terraced dwellings (as part of a comprehensive scheme for the redevelopment of a dilapidated terrace of 14 no mill workers cottages),Lands immediately northeast of 24 Green Road Ardmore.,"247,282","413,885",Pending, ,,,,,,1,12 months and over
A/2013/0498/F,04/10/2013,,04/10/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"Proposed single wind turbine with a hub height of 46 metres and blade diameter of 30 metres, output not exceeding 250 KW.",1075m NW of 567 Baranailt Road  Claudy.,"254,758","410,103",Refused,Refused,18/07/2017,Q2,,,188.2,, 
A/2013/0507/F,08/10/2013,,08/10/2013,Derry and Strabane,FOYLE,Full,Major,Other,Urban, , ,Application to vary Condition 6 of A/1996/0505 and Condition 4 of A/2001/0098/RM to allow mixed retailing,Unit 4  Crescent Link Retail Park  Waterside  Londonderry,"246,540","417,143",Approved,Approved,15/09/2017,Q2,,,196.2,, 
A/2013/0574/F,26/11/2013,,26/11/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Other,Rural: Countryside, , ,Non-compliance with condition No. 02 of planning permission A/2001/0747/F; extension of time to carry out remaining extraction of approved sand and gravel.,700 metres of 339 Longland Road  Claudy,"257,284","405,206",Withdrawn,Withdrawn,,,20/07/2017,Q2,181.2,, 
A/2014/0035/RM,23/01/2014,,23/01/2014,Derry and Strabane,FOYLE,Reserved Matters,Major,Residential,Urban,Urban housing developments, ,Residential housing development comprising a mix of detached and semi detached units (164 in total) with associated landscaping and vehicular access (Environmental Statement received),Drumahoe Industrial Estate  Drumahoe Road  Londonderry,"246,212","415,225",Pending, ,,,,,,1,12 months and over
A/2014/0086/F,10/02/2014,,10/02/2014,Derry and Strabane,FOYLE,Full,Local,Commercial,Urban, , ,"Redevelopment of vacant lands for an unattended 24 hour operating filling station (incorporating new canopy, 4 fuel dispensers, new underground fuel tanks, upgraded associated site works & site boundaries plus a ""fuel cash and carry"" sales building and car wash.",Lands adjacent to  Rossdowney Road and Crescent Link Junction Londonderry,"246,459","417,285",Pending, ,,,,,,1,12 months and over
A/2014/0269/F,28/05/2014,,28/05/2014,Derry and Strabane,EAST LONDONDERRY,Full,Major,Civic,Rural: Countryside, , ,Partial replacement of existing church hall with new extension and renovation and creation of new car park and new access onto Ballyhanedin Road.,Banagher Presbyterian Church. 64 Ballyhanedin Road  Claudy,"258,874","408,955",Pending, ,,,,,,1,12 months and over
A/2014/0495/F,06/10/2014,,06/10/2014,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Construction of managers dwelling and 6 no cottage style apartments in 2 no blocks with associated landscape works to provide Tourism based ""fishing end use"" on the site, under PPS 16",Lands opposite 52 Lismacarrol Road/Glenshane Road  Crossballycormick  Londonderry,"247,924","413,036",Approved,Approved,17/01/2018,Q4,,,163.4,, 
A/2014/0503/F,13/10/2014,,13/10/2014,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,2 detached dwellings and garages with associated site works.,35 Limavady Road  Derry,"244,779","417,318",Approved,Approved,23/05/2017,Q1,,,129.8,, 
A/2014/0538/F,03/11/2014,,03/11/2014,Derry and Strabane,FOYLE,Full,Local,Change of Use,Rural: Countryside, , ,"20 no pitches for touring motorhomes, caravans or tents to include electric hook ups (amended site).",49 Upper Galliagh Road  Derry,"241,415","422,244",Approved,Approved,12/09/2017,Q2,,,142,, 
A/2014/0558/F,04/11/2014,,04/11/2014,Derry and Strabane,FOYLE,Full,Major,Civic,Rural: Countryside, , ,Installation of a wind turbine with tower height of 40m and a blade span off 30m accessed via the existing laneway.,Lands 800m west of 7 Sheriffs Road  Derry City.,"239,947","417,164",Pending, ,,,,,,1,12 months and over
