Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA05/2018/0702/O,09/07/2018,Q2,09/07/2018,Lisburn and Castlereagh,LAGAN VALLEY,Outline,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Replacement dwelling and garage,11 Bensons Road  Lisburn,"323,354","367,141",Pending, ,,,,,42.8,1,6 - 12 months
LA05/2018/0704/F,09/07/2018,Q2,09/07/2018,Lisburn and Castlereagh,LAGAN VALLEY,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,"Conversion of existing garage to living space, internal changes and associated alterations to windows and doors. New detached outbuilding for domestic purposes only (storage/workshed).",82 Drennan Road  Boardmills  Lisburn  BT27 6UR,"334,106","359,444",Approved,Approved,23/10/2018,Q3,,,14.6,, 
LA05/2018/0707/F,09/07/2018,Q2,09/07/2018,Lisburn and Castlereagh,BELFAST SOUTH,Full,Local,Residential,Urban,Urban extensions and alterations, ,"Retrospective application to build retaining wall, fence and infill section of garden to South-West part of rear garden and proposed 1.8m and 1.1m fence",15 Greenwood Hill  Ballydollaghan  BT8 7WF,"334,838","368,273",Pending, ,,,,,,1,6 - 12 months
LA05/2018/0709/F,09/07/2018,Q2,09/07/2018,Lisburn and Castlereagh,LAGAN VALLEY,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,"Proposed renovation of existing dwelling together with two storey rear return, attached single storey garage/utility, and single storey living block with associated hard and soft landscaping",5 Pinehill Road  Drumbo  BT8 8LA,"332,436","366,185",Approved,Approved,28/08/2018,Q2,,,6.6,, 
LA05/2018/0724/F,09/07/2018,Q2,16/07/2018,Lisburn and Castlereagh,BELFAST SOUTH,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Demolition of existing conservatory and rebuilding new single storey extension to side of dwelling to allow living area. Modification of existing gable dormer window,35 Knockbracken Road South  Carryduff  Belfast  BT8 8AA,"337,246","367,470",Approved,Approved,09/11/2018,Q3,,,16.6,, 
LA05/2018/0740/F,09/07/2018,Q2,16/07/2018,Lisburn and Castlereagh,LAGAN VALLEY,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Extension of sun room to front of existing bungalow,67 Ballycreen Road  Ballynahinch  BT24 8UE,"333,178","356,310",Approved,Approved,05/10/2018,Q3,,,11.6,, 
LA05/2018/0794/RM,09/07/2018,Q2,26/07/2018,Lisburn and Castlereagh,LAGAN VALLEY,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed erection of a dwelling and garage as per PPS21 CTY8,On lands south of and adjacent to 25 Mullaghdrin Road  Dromara,"329,211","351,934",Approved,Approved,21/02/2019,Q4,,,29.0,, 
LA06/2018/0745/F,09/07/2018,Q2,09/07/2018,Ards and North Down,STRANGFORD,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,Demolition of existing dwelling and outbuildings at 216 Ballywalter Road and replacement with one detached house with attached garage (Amended proposal),216 Ballywalter Road  Ballywhiskin  Millisle  BT22 2LY,"361,299","373,788",Pending, ,,,,,,1,6 - 12 months
LA06/2018/0746/F,09/07/2018,Q2,09/07/2018,Ards and North Down,NORTH DOWN,Full,Local,Residential,Urban,Urban extensions and alterations, ,"Proposed part demolition, alteration and extension to existing listed dwelling house including associated landscaping and car parking",20 Victoria Road Holywood BT18 9BG,"340,437","379,247",Pending, ,,,,,,1,6 - 12 months
LA06/2018/0747/LBC,09/07/2018,Q2,09/07/2018,Ards and North Down,NORTH DOWN,Listed Building Consents,Local,Other,Urban, , ,"Proposed part demolition, alteration and extension to existing listed dwelling house including associated landscaping and car parking",20 Victoria Road Holywood BT18 9BG,"340,436","379,247",Pending, ,,,,,,1,6 - 12 months
LA06/2018/0748/F,09/07/2018,Q2,27/07/2018,Ards and North Down,NORTH DOWN,Full,Local,Residential,Rural: Settlement,Rural extensions and alterations (settlement), ,Proposed single storey extensions to the sides and rear of the existing property with alterations to the internal layout and elevations  new raised patio area.,17 Old Seahill Road  Holywood  BT18 0EG,"343,958","381,288",Approved,Approved,20/09/2018,Q2,,,7.6,, 
LA06/2018/0749/F,09/07/2018,Q2,26/07/2018,Ards and North Down,STRANGFORD,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,"One-storey kitchen, living and dining extension to rear and one-storey side extension to relocate 2 no. ensuites at side of cottage as well as dormer to rear",11 Hazelwood Glen  Lisbane  Co. Down  BT23 6AU,"348,630","364,421",Approved,Approved,28/09/2018,Q2,,,9.0,, 
LA07/2018/1129/F,09/07/2018,Q2,11/07/2018,"Newry, Mourne and Down",NEWRY AND ARMAGH,Full,Local,Mixed Use,Urban, , ,"Proposed erection of 2 No. storage and distribution units, including associated site works, car parking and landscaping",Approximately 40m South-West of No. 16 Belfast Road  Newry  Co Down  BT34 1QA,"308,727","327,764",Pending, ,,,,,,1,6 - 12 months
LA07/2018/1151/RM,09/07/2018,Q2,23/07/2018,"Newry, Mourne and Down",SOUTH DOWN,Reserved Matters,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Construction of replacement dwelling and domestic garage,10 Mill Road  Hilltown  BT34 5UZ,"321,126","330,349",Approved,Approved,12/10/2018,Q3,,,11.6,, 
LA07/2018/1171/LBC,09/07/2018,Q2,27/07/2018,"Newry, Mourne and Down",NEWRY AND ARMAGH,Listed Building Consents,Local,Other,Urban, , ,Proposed repairs to facade and retention of suspended ceilings,7 Trevor Hill  Newry  BT34 1DN,"308,780","326,728",Approved,Approved,16/11/2018,Q3,,,15.8,, 
LA08/2018/1019/F,09/07/2018,Q2,09/07/2018,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Residential,Rural: Settlement,Rural extensions and alterations (settlement), ,"Single storey rear extension to provide kitchen, utility room and wc with former kitchen converted to bedroom and single storey porch to front.",11 Castle Parade  Legacorry  Richhill  BT61 9QQ,"294,536","348,467",Approved,Approved,03/09/2018,Q2,,,7.4,, 
