Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA04/2018/0047/DCA,19/12/2017,,16/01/2018,Belfast,BELFAST SOUTH,Other consents,Local,Other,Urban, , ,Demolition of 29 Balmoral Avenue,29 Balmoral Avenue  Belfast,"331,672","370,753",Pending, ,,,,,62.6,1,12 months and over
LA04/2018/0048/LBC,19/12/2017,,22/12/2017,Belfast,BELFAST SOUTH,Listed Building Consents,Local,Other,Urban, , ,"Conversion of, alterations to and side extension to King's Hall to accommodate Primary Health Care Centre, demolition of existing extensions to King's Hall and relocation and restoration of existing railings and pillars to the front of King's Hall.",The King's Hall And RUAS Site  South Of Upper Lisburn Road/Balmoral Avenue  West Of Harberton Park And North East Of Balmoral Golf Club  Belfast  BT9 6GW,"331,536","370,638",Pending, ,,,,,65.2,1,12 months and over
LA04/2018/0149/HSC,19/12/2017,,19/12/2017,Belfast,BELFAST NORTH,Other consents,Local,Other,Urban, , ,"Hazardous substance consent for storage of Chlorine 1.0 te (Part 2,10), Methanol 50 te (Part 2,22), Acute Toxic H1 8 te and Acute Toxic H2 105 te",Brenntag Uk Ltd  8 Seal Road  Belfast  BT3 9LL,"335,638","377,451",Approved,Approved,08/01/2019,Q4,,,51.8,, 
LA04/2018/0156/DCA,19/12/2017,,05/02/2018,Belfast,BELFAST NORTH,Other consents,Local,Other,Urban, , ,"Partial demolition, extension to rear and conversion of unoccupied dwelling into 4no. apartments and 1no. dwelling, complete with associated access improvements, car parking and site works",100 Somerton Road  Belfast  BT15 4DE,"333,352","377,968",Refused,Refused,29/10/2018,Q3,,,36.4,, 
LA04/2018/0157/F,19/12/2017,,05/02/2018,Belfast,BELFAST NORTH,Full,Local,Residential,Urban,Urban housing developments, ,"Partial demolition, extension to rear and conversion of unoccupied dwelling into 4no. apartments and 1no. dwelling, complete with associated access improvements, car parking and site works (Amended Proposal)",98 & 100 Somerton Road Belfast BT15 4DE,"333,353","377,967",Refused,Refused,29/10/2018,Q3,,,36.4,, 
LA05/2017/1297/O,19/12/2017,,19/12/2017,Lisburn and Castlereagh,LAGAN VALLEY,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,"Proposed infill dwelling, new access and all associated site works",Adj and to the south east of nos 27 Moira Road (between nos 27 and 19 Moira Road)  Hillsborough,"323,634","358,836",Refused,Refused,11/01/2019,Q4,,,52.4,, 
LA05/2017/1308/F,19/12/2017,,20/12/2017,Lisburn and Castlereagh,LAGAN VALLEY,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Proposed storey and a half dwelling with detached garage. Change of house type following approval LA05/2016/0090/RM to increase ridge height of rear bedroom wing,Site 100m west of No 18 River Road  Boardmills  Lisburn  BT27 6TN,"332,584","358,809",Approved,Approved,13/04/2018,Q1,,,15.0,, 
LA07/2017/1905/O,19/12/2017,,19/12/2017,"Newry, Mourne and Down",STRANGFORD,Outline,Local,Residential,Rural: Settlement,New single rural dwellings (settlement), ,Proposed 2 Storey attached dwelling,40 Queens Park  Saintfield  BT24 7AT,"340,846","358,749",Approved,Approved,10/05/2018,Q1,,,18.8,, 
LA07/2018/0001/O,19/12/2017,,19/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Outline,Local,Commercial,Urban, , ,"Demolition of former school building, erection of food store and mountain rescue centre, provision of car parking and associated site works (Revised access position Shan Slieve Drive to be no longer used)",Site of former St Mary's Primary School (opposite and east of 1-15 Shan Slieve Drive and south of 32-38 Bryansford Road and 2-8 Tullybrannigan Road) and portion of Bryansford Road  Newcastle,"337,333","330,797",Pending, ,,,,,64.0,1,12 months and over
LA07/2018/0012/O,19/12/2017,,19/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Infill dwelling,Site between Nos. 202 and 198 Belfast Road  Newry  BT34 1RE,"309,557","334,852",Withdrawn,Withdrawn,,,21/05/2018,Q1,20.2,, 
LA07/2018/0018/F,19/12/2017,,19/12/2017,"Newry, Mourne and Down",NEWRY AND ARMAGH,Full,Local,Residential,Urban,Urban extensions and alterations, ,Proposed Bay Window and Canopy to front and 2 Storey Extension to rear,22 Monaghan Row  Newry  Co Down  BT35 8DL,"307,904","326,651",Approved,Approved,05/04/2018,Q1,,,14.0,, 
LA07/2018/0022/F,19/12/2017,,19/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Residential,Rural: Settlement,Rural other (settlement), ,Conversion of former church into a dwelling including demolition of small store and replacement with new small extension to rear,Strangford Presbyterian Church  56 Downpatrick Road  Strangford  Co Down  BT30 7LZ,"358,691","349,349",Approved,Approved,25/05/2018,Q1,,,21.0,, 
LA07/2018/0025/F,19/12/2017,,19/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Retention of dwelling and domestic garage as constructed,Adjacent and South of 259 Moyad Road  Aughnaloopy  Kilkeel  Co Down BT34 4HP,"328,895","319,358",Pending, ,,,,,,1,12 months and over
LA07/2018/0026/LBC,19/12/2017,,19/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Listed Building Consents,Local,Other,Rural: Settlement, , ,"Conversion of church into dwelling, including demolition of small store and replacement with new small extension to the rear",Strangford Presbyterian Church  56 Downpatrick Road  Strangford BT30 7LZ,"358,691","349,349",Approved,Approved,25/05/2018,Q1,,,21.0,, 
LA07/2018/0031/O,19/12/2017,,19/12/2017,"Newry, Mourne and Down",NEWRY AND ARMAGH,Outline,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Proposed terrace of 4 No. houses,To rear of 20-22 Armagh Street  Newtownhamilton  Newry,"292,945","327,891",Refused,Refused,09/11/2018,Q3,,,44.2,, 
LA07/2018/0097/F,19/12/2017,,19/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Replacement Dwelling with Domestic Garage,88 Greencastle Road  Kilkeel.,"329,349","312,813",Approved,Approved,01/06/2018,Q1,,,21.8,, 
LA08/2018/0006/F,19/12/2017,,19/12/2017,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Residential,Rural: Settlement,Rural extensions and alterations (settlement), ,Side extension to dwelling to form dining room (single storey),9 Johnstown Mews  Hamiltonsbawn  BT61 9SH,"294,416","344,492",Approved,Approved,16/04/2018,Q1,,,15.4,, 
LA08/2018/0007/F,19/12/2017,,19/12/2017,"Armagh, Banbridge and Craigavon",SOUTH DOWN,Full,Local,Industrial,Rural: Countryside, , ,Extension of existing quarry.,Tullyraine Quarry  122 Dromore Road  Banbridge  BT32 4EG,"315,257","346,621",Pending, ,,,,,,1,12 months and over
LA09/2017/1784/F,19/12/2017,,19/12/2017,Mid Ulster,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Settlement,Rural extensions and alterations (settlement), ,Proposed front extension to enlarge existing bathroom and bedrooms and side kitchen/utility room extension. Replacement of existing concrete roofing tiles with natural slate and replacement of all windows and external doors,113 Old Caulfield Road  Castlecaulfield  Dungannon,"276,049","362,718",Approved,Approved,17/04/2018,Q1,,,15.6,, 
LA09/2017/1785/O,19/12/2017,,19/12/2017,Mid Ulster,MID ULSTER,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed dwelling and garage (infill Site),Approx 20m South West of 61 Ballygrooby Road  Moneymore,"290,091","383,091",Pending, ,,,,,,1,12 months and over
LA10/2017/1349/F,19/12/2017,,04/06/2018,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Provision of 3 No tree houses to be used as  accommodation in association with the existing resort.,600m South East of 41 Letter Road Aghnablaney Kesh BT93 2BB,"207,828","363,313",Refused,Refused,16/08/2018,Q2,,,10.2,, 
LA10/2017/1351/F,19/12/2017,,19/12/2017,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Replacement two storey dwelling with integral car port and domestic garage,315 Killadeas Road Drummal Irvinestown BT94 1PG,"218,575","357,292",Approved,Approved,20/04/2018,Q1,,,16.2,, 
LA10/2017/1353/F,19/12/2017,,19/12/2017,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,Pair of replacement single storey semi detached dwellings with attic accommodation,72 and 74 Geaglum Road Inish Rath Island Geaglum Derrylin BT92 9GN,"233,803","327,159",Refused,Refused,23/11/2018,Q3,,,46.2,, 
LA10/2017/1355/RM,19/12/2017,,19/12/2017,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Reserved Matters,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Two storey replacement dwelling with detached domestic garage-existing dwelling to be retained as store to proposed garage,340m North West of 90 Keady Road Gortgranagh Lisnaskea BT92 0DL,"236,101","328,928",Approved,Approved,27/04/2018,Q1,,,17.2,, 
LA10/2018/0001/F,19/12/2017,,19/12/2017,Fermanagh and Omagh,WEST TYRONE,Full,Local,Residential,Rural: Settlement,Rural other (settlement), ,Retention of change of use from vacant retail unit to 1no. bedroom flat,69 Main Street  Beragh,"254,427","367,150",Approved,Approved,17/04/2018,Q1,,,15.6,, 
LA11/2018/0004/F,19/12/2017,,19/12/2017,Derry and Strabane,FOYLE,Full,Local,Change of Use,Urban, , ,Proposed change of use from retail to retail with hot food,16 Waterloo Place Derry,"243,516","416,939",Pending, ,,,,,,1,12 months and over
LA11/2018/0008/F,19/12/2017,,19/12/2017,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,Erection of 2 no 2 storey dwellings with attached garages (Change of housetype from that approved under Ref: A/2010/0565/F),Land Adjacent to 33 Bridgewater  Clooney Road  L'Derry,"246,183","418,123",Approved,Approved,14/05/2018,Q1,,,19.2,, 
LA11/2018/0022/F,19/12/2017,,22/12/2017,Derry and Strabane,FOYLE,Full,Local,Civic,Urban, , ,NEW OVERSPILL CAR-PARK,Lands to South East of Altnagelvin Hospital (South of Manor Wood and North of Grovemount)  Glenshane Road  Derry.,"245,743","415,539",Pending, ,,,,,,1,12 months and over
LA01/2017/1653/F,20/12/2017,,20/12/2017,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Agricultural,Rural: Countryside, , ,Retention of single storey farm building.,Approx. 30m NE of 5 Benone Avenue  Limavady.,"271,342","435,440",Pending, ,,,,,,1,12 months and over
LA01/2018/0007/F,20/12/2017,,20/12/2017,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Change of Use,Rural: Countryside, , ,Temporary use of the site as a storage compound (Class B4) for storage of building materials and parking of applicant's company vehicles (Retrospective),Lands 480m North West of 60 Gelvin Road  Drumsurn,"270,682","414,349",Refused,Refused,21/12/2018,Q3,,,50.0,, 
LA01/2018/0034/F,20/12/2017,,20/12/2017,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Change of Use,Rural: Settlement, , ,Extension of existing graveyard including associated access and landscaping.,St.Paul's Church  26 St.Paul's Road  Articlave  Coleraine.,"278,413","433,925",Approved,Approved,24/05/2018,Q1,,,20.6,, 
LA01/2018/0076/F,20/12/2017,,19/01/2018,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Commercial,Rural: Countryside, , ,Proposed Storage Shed (Class B4),Lands immediately west of 60 Gelvin Road  Drumsurn  Dungiven,"271,090","414,216",Pending, ,,,,,63.2,1,12 months and over
LA02/2017/1144/F,20/12/2017,,20/12/2017,Mid and East Antrim,EAST ANTRIM,Full,Local,Agricultural,Rural: Countryside, , ,Retention of agricultural shed for farm storage,Lands 75m west of 75 Cairn Road Carrickfergus,"339,739","392,901",Refused,Refused,23/10/2018,Q3,,,41.4,, 
LA03/2018/0001/F,20/12/2017,,20/12/2017,Antrim and Newtownabbey,SOUTH ANTRIM,Full,Local,Change of Use,Urban, , ,Proposed hot food takeaway unit.,8 Rashee Road  Ballyclare BT39 9HJ,"328,693","391,387",Withdrawn,Withdrawn,,,27/04/2018,Q1,17.0,, 
LA03/2018/0008/O,20/12/2017,,20/12/2017,Antrim and Newtownabbey,SOUTH ANTRIM,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Site for House & Garage,30m North West of 33 Oldwood Road  Randalstown,"311,692","393,328",Approved,Approved,11/06/2018,Q1,,,22.8,, 
LA04/2017/2800/LBC,20/12/2017,,31/01/2018,Belfast,BELFAST SOUTH,Listed Building Consents,Local,Other,Urban, , ,"Demolition of 2 storey rear return, external steps and single storey outbuilding of former Parochial House, demolition of existing vestry entrance porch, external steps, single storey boiler house and part of internal wall to tower and relocation of internal spiral staircase of former Holy Rosary Church. Erection of 3 storey and single storey rear and 2 storey side extensions and associated works. Change of use to 18 bed hotel and licensed restaurant (full description).",Lands at  Nos 348-350 Ormeau Road  Belfast  BT7 2FZ,"334,868","371,487",Pending, ,,,,,,1,12 months and over
LA04/2017/2801/A,20/12/2017,,20/12/2017,Belfast,BELFAST SOUTH,Consent to Display,Local,Other,Urban, , ,"9no Facade Signs, 10no Freestanding signs.",JLR Charles Hurst  62 Boucher Road  Belfast  BT12 6LR,"331,464","371,360",Approved,Approved,29/10/2018,Q3,,,42.2,, 
LA04/2017/2804/F,20/12/2017,,20/12/2017,Belfast,BELFAST EAST,Full,Local,Residential,Urban,Urban extensions and alterations, ,Partial demolition of front wall for driveway access with dropped kerb.,76 Belmont Church Road  Belfast  BT4 3FG,"337,986","374,372",Approved,Approved,20/04/2018,Q1,,,16.0,, 
LA04/2018/0022/F,20/12/2017,,11/01/2018,Belfast,BELFAST WEST,Full,Major,Mixed Use,Urban, , ,"Community, cultural and sporting hub for the Upper Andersonstown area incorporating; a community hub building accommodating a multi-functional hall, handball court, fitness suite, health and well-being suite and associated ancillary accommodation. Replacement of floodlit grass pitch with floodlit synthetic pitch. Two floodlit multi-use games areas. Pre-nursery building housing 1 no.classroom and a small outdoor play area, landscaping and a new footpath link from the Shaw's Road and associated car parking",Rossa Park  Shaw's Road  Belfast  BT11 9QJ,"328,994","371,435",Pending, ,,,,,,1,12 months and over
LA04/2018/0059/F,20/12/2017,,31/01/2018,Belfast,BELFAST SOUTH,Full,Local,Mixed Use,Urban, , ,"Demolition of 2 storey rear return, external steps and single storey outbuilding of former Parochial House, demolition of existing vestry entrance porch, external steps, single storey boiler house and part of internal wall to tower and relocation of internal spiral staircase of former Holy Rosary Church. Erection of 3 storey and single storey rear and 2 storey side extensions and associated works. Change of use to 18 bed hotel and licensed restaurant (full description).",Lands at Nos. 348-350 Ormeau Road  Belfast  BT7 2FZ,"334,868","371,487",Pending, ,,,,,,1,12 months and over
LA04/2018/0089/F,20/12/2017,,20/12/2017,Belfast,BELFAST SOUTH,Full,Local,Residential,Urban,Urban housing developments, ,Demolition of existing dwelling and erection of 4no. detached dwellings with attached garages.,7 Mornington   Annadale Avenue  Belfast,"334,385","370,784",Approved,Approved,14/01/2019,Q4,,,52.4,, 
LA04/2018/0090/O,20/12/2017,,20/12/2017,Belfast,BELFAST WEST,Outline,Local,Residential,Urban,Urban housing developments, ,3no.  2 storey 3 person terraced houses and a single storey bungalow (4 in total). New access road for vehicular and pedestrian access to the houses with associated car parking,Lands at  2-4 Good Shepherd Road  Dunmurry  BT17 0LS,"327,623","370,386",Approved,Approved,31/07/2018,Q2,,,29.6,, 
LA04/2018/0095/F,20/12/2017,,20/12/2017,Belfast,BELFAST SOUTH,Full,Local,Change of Use,Urban, , ,Demolition of partition wall to amalgamate part of No.9 Wellington Place into No.7 Wellington Place to extend existing amusement/gaming centre use and conversion from retail use. Subdivision of No.9 Wellington Place to form a retail unit.,9 Wellington Place  Belfast,"333,667","374,111",Approved,Approved,20/04/2018,Q1,,,16.0,, 
LA04/2018/0131/LBC,20/12/2017,,01/02/2018,Belfast,BELFAST SOUTH,Listed Building Consents,Local,Other,Urban, , ,Demolition of partition wall to amalgamate part of No.9 Wellington Place into No.7 Wellington Place. Demolition of other internal walls at rear of No.9 Wellington Place. Subdivision of No.9 Wellington Place by the erection of a new brick wall.,7-9 Wellington Place  Belfast,"333,666","374,113",Approved,Approved,25/04/2018,Q1,,,11.2,, 
LA04/2018/0140/F,20/12/2017,,18/01/2018,Belfast,BELFAST NORTH,Full,Local,Industrial,Urban, , ,Erection of a building to house electricity substation.,Land at  81-107 York Street  Belfast,"333,981","374,984",Approved,Approved,03/05/2018,Q1,,,14.4,, 
LA05/2017/1302/F,20/12/2017,,20/12/2017,Lisburn and Castlereagh,LAGAN VALLEY,Full,Local,Residential,Rural: Settlement,Rural extensions and alterations (settlement), ,Single storey extension to rear of existing dwelling,16 Kingsfort Lodge  Moira  BT67 0QG,"314,533","360,303",Approved,Approved,11/05/2018,Q1,,,18.8,, 
LA05/2017/1305/DCA,20/12/2017,,20/12/2017,Lisburn and Castlereagh,LAGAN VALLEY,Other consents,Local,Other,Rural: Settlement, , ,"Removal of 1 no external ATM, alarms, lighting and signage, infilling of exposed ATM aperture with material to match the existing",Ulster Bank  49 Main Street  Moira  Craigavon,"314,959","360,519",Approved,Approved,10/07/2018,Q2,,,27.0,, 
LA05/2017/1315/F,20/12/2017,,20/12/2017,Lisburn and Castlereagh,BELFAST EAST,Full,Local,Mixed Use,Urban, , ,"Change of use of existing lower ground floor nursery store to function room, construction of an associated fire escape staircase, alterations to windows on rear elevation from approved (part retrospective) and retention of fire escape door and staircase to north east elevation.",78 Old Dundonald Road Belfast BT16 1XS,"341,529","373,293",Approved,Approved,13/11/2018,Q3,,,44.4,, 
LA05/2017/1316/F,20/12/2017,,20/12/2017,Lisburn and Castlereagh,BELFAST EAST,Full,Local,Mixed Use,Urban, , ,"Proposed alterations of existing façade and sub division of existing building to create 3 no. units (Unit 1A, 1B + 1C). Change of use application to retail unit 1A to create a hot food unit for food consumption off site",Unit 01  Eastpoint Entertainment Village  Old Dundonald Road  Dundonald  BT16 1XT,"340,891","373,416",Approved,Approved,04/09/2018,Q2,,,34.4,, 
LA05/2017/1317/RM,20/12/2017,,20/12/2017,Lisburn and Castlereagh,LAGAN VALLEY,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed new dwelling and garage,Lands adjacent to and north east of 328 Comber Road  Carr  Lisburn,"333,676","362,863",Approved,Approved,08/06/2018,Q1,,,22.6,, 
LA05/2018/0011/F,20/12/2017,,21/12/2017,Lisburn and Castlereagh,BELFAST SOUTH,Full,Local,Residential,Urban,Urban extensions and alterations, ,Single storey rear kitchen/living area extension and associated site works.,1 Annavale Avenue  Carryduff  County Down,"336,760","365,284",Approved,Approved,11/05/2018,Q1,,,18.6,, 
LA06/2017/1450/F,20/12/2017,,03/01/2018,Ards and North Down,NORTH DOWN,Full,Local,Residential,Urban,Replacement single urban dwellings, ,Erection of two-storey dwelling (with front and rear balcony) and double garage (with new entrance pillars and wall) (amended description),112 Warren Road  Donaghadee  BT21 0PQ,"357,540","381,645",Approved,Approved,21/05/2018,Q1,,,18.8,, 
LA06/2017/1453/RM,20/12/2017,,04/01/2018,Ards and North Down,STRANGFORD,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Reserved matters application for outline planning permission ref X/2014/0360/O for a dwelling and detached garage with associated hard and soft landscaping.,Lands 65 metres North East of 2 Drumawhey Road  Newtownards  BT23 8RS,"353,878","374,507",Approved,Approved,25/04/2018,Q1,,,15.2,, 
LA07/2018/0016/F,20/12/2017,,20/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,Proposed infill dwelling and attached domestic garage (amended description),Between No. 29 and 35 Upper Knockbarragh Road  Rostrevor,"316,576","321,215",Pending, ,,,,,,1,12 months and over
LA07/2018/0027/F,20/12/2017,,20/12/2017,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Agricultural,Rural: Countryside, , ,Proposed Farm Building without underground tanks,60m SW of No 42 Levallyreagh Road  Rostrevor  Warrenpoint  Co. Down,"316,366","321,445",Approved,Approved,31/08/2018,Q2,,,34.0,, 
LA07/2018/0086/F,20/12/2017,,20/12/2017,"Newry, Mourne and Down",NEWRY AND ARMAGH,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Proposed 1.5 storey replacement dwelling and garage,8 Cons Lane  Cross  Camlough  Newry  BT35 7LF,"304,211","325,840",Approved,Approved,12/04/2018,Q1,,,14.8,, 
LA08/2017/1734/F,20/12/2017,,20/12/2017,"Armagh, Banbridge and Craigavon",SOUTH DOWN,Full,Local,Civic,Rural: Countryside, , ,Retrospective application for the construction of hardcore access track to approved wind turbine.,Land at Knockiveagh Hill (Approximately 370m North of 15 Iveagh Road  Katesbridge)  Rathfriland  BT32 5QZ,"318,173","337,870",Pending, ,,,,,,1,12 months and over
LA08/2017/1736/F,20/12/2017,,20/12/2017,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Major,Civic,Urban, , ,"Construction of a new Further Education (FE) College Building (Use Class D1) (Southern Regional College) (2 No. and 3No. storeys) and associated car parking, landscaping, associated site works and provision of 830No. PV Solar Panels to roof (total system size of 241KWP) on lands at South Lake, Craigavon (lands approximately 240m North of No.413 Burnside and adjacent to Lake Road, Craigavon.",South Lake  Lake Road Craigavon - Lands approximately 240m North of no.413 Burnside and adjacent to Lake Road  Craigavon,"305,233","357,284",Approved,Approved,18/01/2019,Q4,,,53.2,, 
LA08/2018/0011/F,20/12/2017,,20/12/2017,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Erection of replacement dwelling and retention of existing listed building as outbuilding.,Lands at 170m South West of No. 151 The Rock Road  Ballynahone Beg  Armagh BT60 3NP.,"286,189","342,651",Pending, ,,,,,,1,12 months and over
LA08/2018/0012/F,20/12/2017,,05/01/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Retention of sunroom extension to rear of dwelling.,53 Woodville Gate  Lurgan BT66 6SR,"307,652","359,909",Approved,Approved,18/06/2018,Q1,,,22.2,, 
LA08/2018/0013/F,20/12/2017,,05/01/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Retention of sunroom extension to rear of dwelling.,14 Deerings Grove  Lurgan  BT67 9GZ,"307,787","359,987",Approved,Approved,19/06/2018,Q1,,,22.4,, 
LA08/2018/0015/F,20/12/2017,,05/01/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Retention of sunroom extension to rear of dwelling.,55 Deerings Grove Lurgan BT67 9GZ,"307,767","360,039",Approved,Approved,18/06/2018,Q1,,,22.2,, 
LA08/2018/0016/F,20/12/2017,,05/01/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Retention of sunroom extension to rear of dwelling,49 Woodville Gate  Lurgan  BT66 6SR,"307,678","359,881",Approved,Approved,18/06/2018,Q1,,,22.2,, 
LA08/2018/0017/F,20/12/2017,,20/12/2017,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Retention of domestic garage,64 Deerings Grove  Lurgan  Craigavon  BT67 9GZ,"307,779","360,075",Approved,Approved,18/06/2018,Q1,,,23.8,, 
LA08/2018/0031/F,20/12/2017,,05/01/2018,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Commercial,Rural: Countryside, , ,"Retention of yard, buildings and structures associated with existing fuel distribution business.",Lands east of 5 Killycarn Road  Loughgilly  Armagh  BT60 2DG,"299,429","337,899",Approved,Approved,21/08/2018,Q2,,,31.0,, 
LA09/2017/1786/O,20/12/2017,,20/12/2017,Mid Ulster,MID ULSTER,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed new dwelling on farm,Adjacent to 75 Bellagherty Road  Ballyronan  Magherafelt,"293,337","384,804",Approved,Approved,24/05/2018,Q1,,,20.6,, 
LA09/2017/1787/RM,20/12/2017,,20/12/2017,Mid Ulster,FERMANAGH AND SOUTH TYRONE,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed dwelling,East of 29 Eskragh Road  Dungannon,"277,964","362,007",Approved,Approved,10/04/2018,Q1,,,14.4,, 
LA09/2017/1788/F,20/12/2017,,20/12/2017,Mid Ulster,MID ULSTER,Full,Major,Industrial,Rural: Settlement, , ,"Proposed expansion of existing facilities to include a proposed Truss units, associated wood store and two light industrial units",Site adjacent to and to the south of Ardboe Business Park  Kilmascally Road  Ardboe  Dungannon,"294,310","375,019",Approved,Approved,10/09/2018,Q2,,,35.2,, 
LA09/2018/0017/F,20/12/2017,,20/12/2017,Mid Ulster,MID ULSTER,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Replacement dwelling,38 Killywoolaghan Road  Stewartstown,"293,652","372,205",Approved,Approved,26/11/2018,Q3,,,46.2,, 
LA10/2017/1354/F,20/12/2017,,20/12/2017,Fermanagh and Omagh,WEST TYRONE,Full,Local,Agricultural,Rural: Countryside, , ,"Retention of free range poultry house with 2no. feed bins, washing collection tank and associated site works",50m north west of 19 Bracky Road  Bracky  Sixmilecross,"253,874","372,437",Pending, ,,,,,,1,12 months and over
LA10/2018/0011/F,20/12/2017,,20/12/2017,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Dwelling and domestic garage,10m North of 57 Lisnagole Road  Aghnaskew  Maguiresbridge,"234,730","337,061",Approved,Approved,31/05/2018,Q1,,,21.4,, 
LA11/2018/0005/F,20/12/2017,,20/12/2017,Derry and Strabane,FOYLE,Full,Local,Commercial,Rural: Countryside, , ,Proposed rear extension to bar / restaurant to provide to provide toilet facilities to first floor.,66 Buncrana Road  Derry  BT48 0XX,"241,062","420,870",Approved,Approved,06/04/2018,Q1,,,14.0,, 
LA11/2018/0007/F,20/12/2017,,20/12/2017,Derry and Strabane,FOYLE,Full,Local,Change of Use,Urban, , ,Change of use from former dwellings into an office block retaining the features of the original dwellings externally to include rebuild of No.35 and alterations to the rear of No's.31-33,No 31 33 & 35 Fountain Street Derry City BT48 6QX,"243,506","416,477",Approved,Approved,31/01/2019,Q4,,,55.0,, 
LA01/2017/1642/F,21/12/2017,,21/12/2017,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed dwelling on farm.,50m SW of 103 Mussenden Road  Castlerock.,"276,867","434,784",Approved,Approved,30/01/2019,Q4,,,54.6,, 
LA01/2017/1648/F,21/12/2017,,21/12/2017,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Urban,Urban extensions and alterations, ,"Proposed roof space conversion/extension and single storey rear extension to form living space. Proposed entrance pillars/gates, garden house and landscaping works. Alterations to external finishes and window openings",1 Strandview Drive  Portstewart,"281,618","437,421",Approved,Approved,10/12/2018,Q3,,,48.0,, 
LA01/2018/0036/F,21/12/2017,,21/12/2017,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Replacement dwelling and garage.,8 Kiltinny Park  Coleraine.,"280,872","427,803",Approved,Approved,05/04/2018,Q1,,,13.6,, 
