ID,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA07/2022/0758/F,05-May-2022,,17-May-2022,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Civic,Rural: Countryside, , ,Proposed new 30m lattice telecommunications tower proposed as part of the Shared Rural Network.  Development includes new compound enclosed by 1.2m high timber stock proof fence which encloses the proposed new telecommunications tower and associated ancillary development.,Killowen Mountains   the site lies 90m to the south west of an existing Mast.  The site lies 2.35km due north of the entrance to 65 Killowen Old Road   Rostrevor   Newry   County Down   BT34 3AE,"320,307","317,529",Approved,Approved,28-May-2024,Q1,,,100.4,, 
LA08/2022/0615/F,05-May-2022,,09-May-2022,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",LAGAN VALLEY,Full,Local,Agricultural,Rural: Countryside, , ,Proposed erection of agricultural storage shed with associated site works.,Lands approximately 80m South West of   17 Tullyhenan Road   Banbridge   BT32 4EY,"315,354","348,025",Refused,Refused,18-Jun-2024,Q1,,,104.6,, 
LA01/2022/0519/F,10-May-2022,,10-May-2022,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Agricultural,Rural: Countryside, , ,Erection of new cattle shed and associated slurry tank,Land/yard at 69 Killeague Road   Coleraine,"282,911","426,236",Approved,Approved,30-Sep-2024,Q2,,,118.6,, 
LA03/2022/0430/F,10-May-2022,,10-May-2022,Antrim and Newtownabbey,N13000001,Antrim and Newtownabbey LPA,SOUTH ANTRIM,Full,Major,Industrial,Rural: Countryside, , ,The south westerly lateral expansion to the existing quarry at Mallusk with phased extraction and full restoration.,Lands within and South West of existing quarry at 140 Mallusk Road   10m East and 100m South of 24 Bernice Road   90m South East of 42c Bernice Road   10m North of 54 Sealstown Road   and 20m North East of 56 Sealstown Road. Mallusk   Newtownabbey   BT36 4QN,"327,513","382,951",Pending, ,,,,,,1,12 months and over
LA04/2022/0930/F,10-May-2022,,27-May-2022,Belfast,N13000004,Belfast LPA,BELFAST SOUTH,Full,Local,Change of Use,Urban, , ,Retrospective: Change of Use from Class A1 & D2 to a Gymnasium on Ground Floor.,47 Ravenhill Road  Belfast  BT6 8DQ,"335,043","373,666",Approved,Approved,28-May-2024,Q1,,,98.8,, 
LA04/2022/1043/F,10-May-2022,,10-May-2022,Belfast,N13000004,Belfast LPA,BELFAST SOUTH,Full,Local,Mixed Use,Urban, , ,"Change of use from youth hostel to 6 apartments. Demolition of 2 storey rear extension and construction of 2 storey rear extension. Erection of railing, roof windows and chimney, elevation changes (Renewal of planning permission LA04/2016/1566/F)",12 College Square North   Belfast,"333,416","374,157",Pending, ,,,,,,1,12 months and over
LA07/2022/0773/O,10-May-2022,,20-May-2022,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Outline,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Housing development comprising of 4 dwellings and 8 apartments (amended proposal),Lands at 2 to 10 Killyleagh Street   Crossgar,"345,471","352,216",Pending, ,,,,,,1,12 months and over
LA11/2022/0561/F,10-May-2022,,17-May-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Full,Local,Civic,Rural: Countryside, , ,"Erection of 25m high lattice telecommunications mast with associated equipment cabinets, generator and fuel tank within new compound area enclosed by 1.2m high fence. Approximately 470m of new access track (amended ICNIRP & additional information received)",Approx 380 meters north west of 43 Loughash Road   Dunamanagh   Co. Tyrone   BT82 0QF,"248,202","401,034",Withdrawn,Withdrawn,,,22-Jul-2024,Q2,107.8,, 
LA05/2022/0490/O,11-May-2022,,11-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,LAGAN VALLEY,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Site for dwelling & garage,Adjacent to 30m East of 21 Waterloo Road   Lisburn,"327,717","361,834",Pending, ,,,,,,1,12 months and over
LA07/2022/0801/F,11-May-2022,,25-May-2022,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Agricultural,Rural: Countryside, , ,Replacement building (previously destroyed by fire) for farm diversification including all associated site works,Lands at 58a Downpatrick Road   Crossgar,"346,408","351,106",Pending, ,,,,,,1,12 months and over
LA08/2022/0717/F,11-May-2022,,30-May-2022,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",UPPER BANN,Full,Local,Mixed Use,Urban, , ,Retrospective planning application for the erection of a proposed energy centre building to the rear of the ambulance control building at Craigavon Area Hospital. This will include security fencing and resurfacing works to existing car park. (Amended Proposal),Craigavon Area Hospital   68 Lurgan Road   Portadown   BT63 5QQ,"303,123","355,165",Pending, ,,,,,,1,12 months and over
LA09/2022/1038/DCA,11-May-2022,,20-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Other consents,Local,Other,Rural: Settlement, , ,Demolition and re-development to provide 12 No apartments,55 St. Patricks Street Draperstown BT45 7AJ,"278,054","394,521",Approved,Approved,13-Sep-2024,Q2,,,115.0,, 
LA01/2022/0524/F,12-May-2022,,12-May-2022,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Commercial,Urban, , ,"Proposed refurbishment, alterations and extension of the existing listed building including construction of a single storey rear extension to provide a retail unit and first floor offices.  The proposal to include the demolition of existing out housing to the rear of the site within the listed building curtilage.",9-11 Linenhall Street   Limavady,"266,994","423,067",Withdrawn,Withdrawn,,,06-Nov-2024,Q3,123.6,, 
LA01/2022/0525/LBC,12-May-2022,,12-May-2022,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Listed Building Consents,Local,Other,Urban, , ,"Proposed refurbishment, alterations and extension of the existing listed building including the construction a single storey rear extension to provide a retail unit and first floor offices.  The proposal to include the demolition of existing out housing to the rear of the site within the listed building curtilage.",9-11 Linenhall Street   Limavady,"266,994","423,067",Withdrawn,Withdrawn,,,06-Nov-2024,Q3,123.6,, 
LA05/2022/0488/O,12-May-2022,,12-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,LAGAN VALLEY,Outline,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Site for replacement dwelling,9 Brookmount Road   Lisburn,"321,408","365,092",Approved,Approved,30-Aug-2024,Q2,,,114.0,, 
LA06/2022/0481/F,12-May-2022,,11-Jul-2022,Ards and North Down,N13000002,Ards and North Down LPA,STRANGFORD,Full,Local,Industrial,Rural: Countryside, , ,"Demolition of existing brew house and barrel hall.  Construction of a still house and barrel hall including a kitchen, toilets, office and conference room (Amended description)",Echlinville Estate 62 Gransha Road Kircubbin BT22 1AJ,"361,489","360,701",Pending, ,,,,,,1,12 months and over
LA06/2022/0483/F,12-May-2022,,12-May-2022,Ards and North Down,N13000002,Ards and North Down LPA,NORTH DOWN,Full,Local,Commercial,Urban, , ,7No. Class B2 Light industrial units,20m West of 23-27 Innotec Drive   Bangor   BT19 7PD,"350,400","379,081",Pending, ,,,,,146.2,1,12 months and over
LA09/2022/0618/O,12-May-2022,,12-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Dwelling & Garage.,Lands Opposite 33 Lough Road Ballymaguigan BT45 6LN,"295,358","388,058",Pending, ,,,,,,1,12 months and over
LA09/2022/0619/O,12-May-2022,,12-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Dwelling & Garage,75M West Of 20 Lough Road Ballymaguigan BT45 6LN,"295,306","388,255",Pending, ,,,,,,1,12 months and over
LA11/2022/0611/F,12-May-2022,,25-May-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed dwelling & garage on a farm (amended description),20m East of 37 Altaghoney Road   Park   Claudy   BT47 4JR,"251,881","402,172",Pending, ,,,,,,1,12 months and over
LA06/2022/0486/F,13-May-2022,,13-May-2022,Ards and North Down,N13000002,Ards and North Down LPA,NORTH DOWN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Construction of attached garage and porch to gable of dwelling and provision of 2nd floor gable window,2 Martello Gate   Holywood   BT18 9GE,"340,351","379,282",Approved,Approved,22-Aug-2024,Q2,,,112.8,, 
LA08/2022/0686/F,13-May-2022,,24-May-2022,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",NEWRY AND ARMAGH,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Erection of 34 dwellings with detached garages, associated site works and foul waste water pumping station.",Site 90m North West of   71 Mowhan Road   Markethill   Armagh   BT60 1RQ   (with access onto Gosford Road),"296,545","338,750",Pending, ,,,,,,1,12 months and over
LA09/2022/0625/F,13-May-2022,,13-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Residential development of 16 No dwellings.,Adjacent And West Of 65 Tirkane Road Maghera BT46 5NA,"284,793","400,983",Approved,Approved,07-Aug-2024,Q2,,,110.8,, 
LA09/2022/0630/O,13-May-2022,,16-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Outline,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Proposed outline application for 5 no. 2 storey dwellings, 1 detached and 4 no semi detached",73 Main Street Tobermore BT45 5PP,"282,883","396,623",Pending, ,,,,,,1,12 months and over
LA05/2022/0506/F,16-May-2022,,16-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,SOUTH ANTRIM,Full,Local,Mixed Use,Rural: Countryside, , ,"We are proposing to use the land for car sales, we currently stock 15/20 cars on site and this is the main use at the site",44 Scroggy Road   Glenavy,"314,968","371,570",Pending, ,,,,,,1,12 months and over
LA05/2022/0522/F,16-May-2022,,16-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,LAGAN VALLEY,Full,Local,Change of Use,Rural: Settlement, , ,Proposed change of use from apartment on 1st and 2nd floor to offices. Existing building layout and elevations to remain as is,16a Lisburn Street   Hillsborough   BT26 6AB,"324,316","358,912",Approved,Approved,30-Aug-2024,Q2,,,113.6,, 
LA09/2022/0638/DCA,16-May-2022,,16-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Other consents,Local,Other,Rural: Settlement, , ,Demolition of existing derelict (2012) 2 storey public house.,19-21 High Street Draperstown,"278,266","394,615",Approved,Approved,02-Aug-2024,Q2,,,110.0,, 
LA11/2022/0554/LBC,16-May-2022,,16-May-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Listed Building Consents,Local,Other,Rural: Countryside, , ,Conversion of agricultural barn to dwelling,275m N.E. of 5 Lisnacloon Road   Castlederg   BT81 7UF,"223,059","383,767",Approved,Approved,20-Sep-2024,Q2,,,116.6,, 
LA11/2022/0559/F,16-May-2022,,16-May-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Conversion of agricultural barn to dwelling.,275m N E of 5 Lisnacloon Road   Castlederg   BT81 7UF,"223,062","383,770",Approved,Approved,20-Sep-2024,Q2,,,116.6,, 
LA11/2022/0563/F,16-May-2022,,17-May-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Erection of new wind turbine (up to 250kW) with 59m tower and 54m rotor diameter to replace existing wind turbine 30m tower and 30m rotor diameter (approved under J/2011/0068/F),Lands 450m south of 28 Aghalougher Road   Castlederg   BT81 7EX,"219,192","379,388",Refused,Refused,02-Aug-2024,Q2,,,109.6,, 
LA11/2022/0632/F,16-May-2022,,01-Jun-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,WEST TYRONE,Full,Local,Agricultural,Rural: Countryside, , ,Erection of detached agricultural building,24 Seegronan Road   Killeter   Castlederg   BT81 7ET,"219,968","377,399",Pending, ,,,,,,1,12 months and over
LA05/2022/0530/F,17-May-2022,,17-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,STRANGFORD,Full,Local,Commercial,Rural: Countryside, , ,Replacement buildings,92 Manse Road   Carryduff   BT8 8AF,"338,020","366,891",Withdrawn,Withdrawn,,,12-Feb-2025,Q4,136.2,, 
LA05/2022/0626/F,17-May-2022,,20-Jun-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,LAGAN VALLEY,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Renewal of Planning Permission S/2015/0045/F for demolition of no 37 Derriaghy Road and outbuildings and erection of 2 terraced dwellings,Lands at 37 Derriaghy Road   Derriaghy   Lisburn   BT28 3SH,"326,936","367,856",Pending, ,,,,,,1,12 months and over
LA08/2022/0739/F,17-May-2022,,31-May-2022,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",LAGAN VALLEY,Full,Local,Commercial,Rural: Countryside, , ,Proposed rear extension to existing commercial premises.,Buildings 45m to the West   and to the rear of   34 Howe Road   Dromara   BT25 2NJ,"326,189","352,150",Approved,Approved,13-May-2024,Q1,,,96.4,, 
LA09/2022/0641/F,17-May-2022,,17-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Retention of boundary wall/fence,29 Glengomna Road Draperstown BT45 7JQ,"274,894","393,828",Approved,Approved,22-Nov-2024,Q3,,,125.6,, 
LA05/2022/0504/O,18-May-2022,,18-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,LAGAN VALLEY,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,"Site for a dwelling, garage and associated site works (renewal of existing outline permission)",80 metres NW of 3 Kilcorig Road   Lisburn,"321,471","366,175",Approved,Approved,23-Dec-2024,Q3,,,129.4,, 
LA07/2022/0845/F,18-May-2022,,01-Jun-2022,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Residential,Urban,Urban extensions and alterations, ,Proposed retention of existing garage and store with change of materials,6 Osbourne Promenade   Warrenpoint,"314,398","317,981",Pending, ,,,,,,1,12 months and over
LA05/2022/0518/F,19-May-2022,,24-May-2022,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,LAGAN VALLEY,Full,Local,Civic,Urban, , ,"Increase of car parking spaces by 3, create a new asphalt surfaced access with bus loop and halt (shelter) located on the Blaris interchange roundabout to the east of the existing park and ride access(amended description and plans)",Sprucefield Park and Ride   Lisburn   BT27 5RA,"324,901","362,292",Approved,Approved,29-Aug-2024,Q2,,,112.2,, 
LA10/2022/0552/LBC,19-May-2022,,19-May-2022,Fermanagh and Omagh,N13000007,Fermanagh and Omagh LPA,WEST TYRONE,Listed Building Consents,Local,Other,Urban, , ,Proposed works will include the alteration and extension of the building. The roof to the rear of the building will be removed and additional floors added.,15 - 17 High Street   Omagh,"245,079","372,613",Approved,Approved,21-May-2024,Q1,,,99.2,, 
LA10/2022/0553/F,19-May-2022,,19-May-2022,Fermanagh and Omagh,N13000007,Fermanagh and Omagh LPA,WEST TYRONE,Full,Local,Mixed Use,Urban, , ,Change of use to a hotel including extension to the rear with a rooftop leisure facility and alterations/removal of part of the existing roof,15- 17 High Street and 16 Foundry Lane   Omagh,"245,079","372,613",Approved,Approved,21-May-2024,Q1,,,99.2,, 
LA11/2022/0578/F,19-May-2022,,19-May-2022,Derry and Strabane,N13000006,Derry City and Strabane LPA,FOYLE,Full,Local,Change of Use,Urban, , ,Retention of change of use from Use Class A2 (Office) to C3 (Dwelling House) 8 self-contained units (Reason:Amended Description).,6 Ebrington Terrace   Waterside   Derry   BT47 6JS,"244,235","416,815",Pending, ,,,,,,1,12 months and over
