cell_id,row,col,centroid_lng,centroid_lat,secondary_250m,secondary_500m,secondary_750m,secondary_1000m,primary_1000m,primary_2000m,primary_4000m,secondary_rating_kva_1000m,primary_rating_kva_4000m,nearest_transformer_m,nearest_secondary_m,nearest_primary_m,weighted_capacity_kva,available_capacity_kw_proxy,peak_kw_proxy_2026,headroom_kw_proxy_2026,overload_risk_2026,asset_age_mean,missing_rating_share,data_support_score,confidence,electricity_index,jobs_index,buildings_index,services_index,traffic_index,development_pressure,planning_intensity,transit_access,deprivation_weight
belfast_09_03,9,3,-6.033637,54.640857,0,0,0,0,0,0,0,0,0,1278.0,1278.0,4408.7,215.077,112.27,2462.8,-2350.53,0.9274,,0.0,0.58,medium,0.431,0.088,0.378,0.098,0.245,0.152,0.096,0.18,0.0
belfast_09_04,9,4,-6.020001,54.640857,0,0,0,2,0,0,1,1000.0,16000.0,867.9,867.9,3584.2,4183.636,1771.847,2436.35,-664.503,0.6208,,0.0,0.58,medium,0.428,0.088,0.368,0.098,0.241,0.135,0.087,0.18,0.0
belfast_09_05,9,5,-6.006364,54.640857,0,2,2,2,0,0,3,1000.0,48000.0,256.3,256.3,2792.8,13116.611,5509.98,2393.15,3116.83,0.0,,0.0,0.58,medium,0.422,0.088,0.356,0.098,0.236,0.111,0.075,0.18,0.0
belfast_09_06,9,6,-5.992728,54.640857,0,0,0,2,0,0,4,1000.0,64000.0,960.1,960.1,2072.9,19420.795,8076.24,2348.95,5727.29,0.0,,0.0,0.58,medium,0.415,0.088,0.346,0.098,0.233,0.091,0.066,0.18,0.055
belfast_09_07,9,7,-5.979091,54.640857,0,0,0,0,0,1,7,0,112000.0,1507.4,1507.4,1529.1,33245.216,13795.296,2327.25,11468.046,0.0,,0.0,0.58,medium,0.411,0.088,0.342,0.098,0.232,0.085,0.063,0.18,0.198
belfast_09_08,9,8,-5.965455,54.640857,0,0,0,0,0,1,9,0,144000.0,1370.0,1370.0,1386.9,45445.769,18862.884,2395.5,16467.384,0.0,,0.0,0.58,medium,0.422,0.099,0.354,0.104,0.247,0.102,0.068,0.189,0.314
belfast_09_09,9,9,-5.951819,54.640857,0,0,0,0,0,2,9,0,144000.0,1160.6,1160.6,1747.1,50617.574,21039.478,2467.15,18572.328,0.0,,0.0,0.58,medium,0.435,0.11,0.351,0.109,0.243,0.13,0.079,0.198,0.388
belfast_09_10,9,10,-5.938182,54.640857,0,0,2,2,0,2,9,1000.0,144000.0,520.3,520.3,1601.8,55992.649,23338.723,2651.2,20687.523,0.0,,0.0,0.58,medium,0.461,0.162,0.383,0.25,0.258,0.175,0.137,0.203,0.405
belfast_09_11,9,11,-5.924546,54.640857,0,1,1,3,0,3,12,1500.0,192000.0,370.5,370.5,1384.8,68612.042,28599.937,2833.8,25766.137,0.0,,0.0,0.58,medium,0.487,0.162,0.448,0.25,0.292,0.25,0.253,0.203,0.363
belfast_09_12,9,12,-5.91091,54.640857,0,0,1,1,0,3,11,500.0,176000.0,733.4,733.4,1054.9,64462.98,26848.1,2958.45,23889.65,0.0,,0.0,0.58,medium,0.505,0.177,0.49,0.261,0.321,0.279,0.297,0.198,0.439
belfast_09_13,9,13,-5.897273,54.640857,0,0,0,0,0,2,12,0,192000.0,1351.0,1351.0,1360.8,63808.598,26511.997,2808.95,23703.047,0.0,,0.0,0.58,medium,0.484,0.121,0.468,0.117,0.309,0.257,0.252,0.189,0.453
belfast_09_14,9,14,-5.883637,54.640857,0,0,0,0,0,1,10,0,160000.0,1870.3,1870.3,1872.3,51993.84,21571.788,2586.15,18985.638,0.0,,0.0,0.58,medium,0.45,0.09,0.416,0.099,0.279,0.195,0.163,0.18,0.4
belfast_09_15,9,15,-5.870001,54.640857,0,0,0,0,0,1,9,0,144000.0,1829.9,1846.5,1829.9,45208.97,18742.08,2403.85,16338.23,0.0,,0.0,0.58,medium,0.423,0.088,0.362,0.098,0.244,0.117,0.092,0.18,0.295
belfast_09_16,9,16,-5.856364,54.640857,0,0,0,0,0,1,7,0,112000.0,1176.9,1188.5,1176.9,37650.007,15612.845,2320.55,13292.295,0.0,,0.0,0.58,medium,0.41,0.088,0.338,0.098,0.228,0.085,0.063,0.18,0.157
belfast_09_17,9,17,-5.842728,54.640857,0,0,0,2,1,2,4,1000.0,64000.0,979.3,979.3,982.7,27434.668,11390.117,2304.1,9086.017,0.0,,0.0,0.58,medium,0.407,0.088,0.324,0.098,0.209,0.096,0.068,0.18,0.0
belfast_09_18,9,18,-5.829091,54.640857,0,0,0,2,1,2,3,1000.0,48000.0,990.6,990.6,991.0,23992.191,9968.506,2344.25,7624.256,0.0,,0.0,0.58,medium,0.412,0.088,0.339,0.098,0.217,0.118,0.079,0.18,0.0
belfast_09_19,9,19,-5.815455,54.640857,0,0,2,2,1,1,2,1000.0,32000.0,506.5,506.5,512.7,20213.293,8421.599,2409.05,6012.549,0.0,,0.0,0.58,medium,0.421,0.088,0.366,0.098,0.236,0.141,0.09,0.18,0.0
belfast_09_20,9,20,-5.801819,54.640857,0,0,0,0,0,1,2,0,32000.0,1029.1,1029.1,1042.5,15587.107,6476.165,2458.1,4018.065,0.0,,0.0,0.58,medium,0.429,0.088,0.382,0.098,0.249,0.154,0.097,0.18,0.0
belfast_09_21,9,21,-5.788182,54.640857,0,0,0,0,0,1,2,0,32000.0,1845.2,1845.2,1858.5,11116.067,4608.619,2463.0,2145.619,0.1099,,0.0,0.58,medium,0.431,0.088,0.379,0.098,0.246,0.151,0.096,0.18,0.0
belfast_10_00,10,0,-6.074546,54.653714,0,0,0,0,0,0,0,0,0,3792.8,3792.8,5096.6,2.909,1.518,2458.75,-2457.232,0.9468,,0.0,0.34,low,0.429,0.088,0.383,0.098,0.249,0.154,0.097,0.18,0.0
belfast_10_01,10,1,-6.06091,54.653714,0,0,0,0,0,0,0,0,0,3236.5,3236.5,4540.8,9.527,4.973,2464.75,-2459.777,0.9472,,0.0,0.34,low,0.431,0.088,0.381,0.098,0.248,0.152,0.096,0.18,0.0
belfast_10_02,10,2,-6.047273,54.653714,0,0,0,0,0,0,0,0,0,2847.5,2847.5,4099.1,22.344,11.663,2441.1,-2429.437,0.9417,,0.0,0.34,low,0.429,0.088,0.369,0.098,0.242,0.135,0.087,0.18,0.0
belfast_10_03,10,3,-6.033637,54.653714,0,0,0,0,0,0,2,0,32000.0,2391.4,2391.4,3811.6,6983.156,2896.449,2391.85,504.599,0.4083,,0.0,0.58,medium,0.422,0.088,0.354,0.098,0.235,0.111,0.075,0.18,0.0
belfast_10_04,10,4,-6.020001,54.653714,0,0,0,0,0,0,2,0,32000.0,1867.8,1867.8,3170.3,8211.701,3409.17,2342.25,1066.92,0.306,,0.0,0.58,medium,0.414,0.088,0.342,0.098,0.23,0.091,0.066,0.18,0.0
belfast_10_05,10,5,-6.006364,54.653714,0,0,0,0,0,0,4,0,64000.0,1673.7,1673.7,2632.5,16612.905,6891.823,2321.85,4569.973,0.0,,0.0,0.58,medium,0.41,0.088,0.34,0.098,0.23,0.085,0.063,0.18,0.0
belfast_10_06,10,6,-5.992728,54.653714,0,0,0,0,0,0,4,0,64000.0,1912.3,1912.3,2313.2,19096.82,7922.569,2335.65,5586.919,0.0,,0.0,0.58,medium,0.411,0.088,0.348,0.098,0.234,0.095,0.068,0.18,0.0
belfast_10_07,10,7,-5.979091,54.653714,0,0,0,0,0,0,7,0,112000.0,1973.6,1973.6,2305.1,32425.611,13448.724,2374.5,11074.224,0.0,,0.0,0.58,medium,0.416,0.088,0.361,0.098,0.24,0.117,0.079,0.18,0.0
belfast_10_08,10,8,-5.965455,54.653714,0,0,0,0,0,0,8,0,128000.0,1684.2,1684.2,2360.2,40044.999,16626.318,2421.35,14204.968,0.0,,0.0,0.58,medium,0.423,0.088,0.373,0.098,0.244,0.14,0.09,0.18,0.028
belfast_10_09,10,9,-5.951819,54.653714,0,0,0,1,0,2,9,500.0,144000.0,926.1,926.1,1758.2,47087.811,19612.688,2426.1,17186.588,0.0,,0.0,0.58,medium,0.425,0.088,0.358,0.098,0.224,0.154,0.097,0.18,0.079
belfast_10_10,10,10,-5.938182,54.653714,0,2,5,12,0,2,10,6000.0,160000.0,279.0,279.0,1001.0,54907.42,23025.457,2448.85,20576.607,0.0,,0.0,0.58,medium,0.429,0.103,0.353,0.144,0.219,0.152,0.096,0.18,0.09
belfast_10_11,10,11,-5.924546,54.653714,4,10,12,12,1,2,9,6000.0,144000.0,115.2,115.2,123.2,56519.538,23866.332,2472.65,21393.682,0.0,,0.0,0.58,medium,0.432,0.118,0.367,0.19,0.234,0.134,0.11,0.18,0.078
belfast_10_12,10,12,-5.91091,54.653714,0,1,5,8,1,1,7,4000.0,112000.0,341.0,341.0,755.4,42696.833,17925.635,2414.45,15511.185,0.0,,0.0,0.58,medium,0.423,0.103,0.367,0.144,0.231,0.11,0.135,0.18,0.129
belfast_10_13,10,13,-5.897273,54.653714,0,0,0,1,0,1,7,500.0,112000.0,836.3,836.3,1633.6,34992.756,14575.319,2353.95,12221.369,0.0,,0.0,0.58,medium,0.414,0.088,0.36,0.098,0.23,0.091,0.127,0.18,0.138
belfast_10_14,10,14,-5.883637,54.653714,0,0,0,0,0,0,6,0,96000.0,1680.7,1680.7,2511.8,27020.981,11215.724,2327.05,8888.674,0.0,,0.0,0.58,medium,0.41,0.088,0.348,0.098,0.229,0.085,0.09,0.18,0.104
belfast_10_15,10,15,-5.870001,54.653714,0,0,0,0,0,0,6,0,96000.0,2548.0,2548.0,2846.4,24844.267,10295.026,2334.8,7960.226,0.0,,0.0,0.34,low,0.411,0.088,0.346,0.098,0.232,0.096,0.068,0.18,0.03
